순번	종류번호	음식번호	사번	총주문금액	주문일자
92	4	62	10010	1	6000	2020-02-03 17:51:26
93	2	33	10015	1	5000	2020-02-03 17:51:45
94	1	8	10006	1	6000	2020-02-03 17:52:26
95	1	24	10006	1	3000	2020-02-03 17:52:26
96	3	46	10007	1	5000	2020-02-03 17:52:48
97	3	47	10007	1	6000	2020-02-03 17:52:48
98	3	52	10007	1	5000	2020-02-03 17:52:48
99	3	54	10007	1	5500	2020-02-03 17:52:48
100	3	48	10007	1	6000	2020-02-03 17:52:48
101	3	46	10007	1	5000	2020-02-03 17:52:48
102	3	46	10007	1	5000	2020-02-03 17:52:48
103	3	46	10007	1	5000	2020-02-03 17:52:48
104	3	46	10007	1	5000	2020-02-03 17:52:48
105	3	46	10007	1	5000	2020-02-03 17:52:48
106	4	66	10019	2	15000	2020-02-03 17:50:50
107	4	66	10019	2	15000	2020-02-03 17:50:50
108	4	66	10019	2	15000	2020-02-03 17:50:50
109	1	2	10001	1	4500	2020-03-03 07:55:31
110	1	25	10001	1	1000	2020-03-03 07:55:31
111	1	12	10003	2	9000	2020-03-03 07:56:04
112	1	4	10003	2	8000	2020-03-03 07:56:04
113	1	16	10004	1	4000	2020-03-03 07:56:26
114	1	15	10004	1	5500	2020-03-03 07:56:26
115	1	2	10004	1	4500	2020-03-03 07:56:26
116	1	1	10011	1	1000	2020-03-03 07:57:26
117	1	23	10011	1	4000	2020-03-03 07:57:26
118	1	22	10011	1	3500	2020-03-03 07:57:26
119	1	10	10012	1	6000	2020-03-03 07:58:52
120	1	25	10012	1	1000	2020-03-03 07:58:52
121	4	60	10005	1	5500	2020-03-03 07:59:19
122	4	63	10005	1	7000	2020-03-03 07:59:19
123	4	69	10005	1	9000	2020-03-03 07:59:19
124	4	72	10005	1	9000	2020-03-03 07:59:19
125	3	48	10013	1	6000	2020-03-03 07:59:42
126	3	46	10013	1	5000	2020-03-03 07:59:42
127	2	32	10018	2	10000	2020-03-03 08:00:08
128	1	1	10002	1	1000	2020-03-03 12:26:56
129	1	15	10002	1	5500	2020-03-03 12:26:56
130	1	25	10002	1	1000	2020-03-03 12:26:56
131	2	32	10008	2	10000	2020-03-03 12:27:54
132	2	39	10008	1	7000	2020-03-03 12:27:54
133	4	63	10005	5	35000	2020-03-03 12:28:19
134	4	68	10005	1	8000	2020-03-03 12:28:19
135	3	50	10014	2	11000	2020-03-03 12:28:41
136	3	46	10014	1	5000	2020-03-03 12:28:41
137	2	38	10001	2	11000	2020-03-03 12:28:48
138	1	1	10012	1	1000	2020-03-03 12:49:14
139	1	22	10012	1	3500	2020-03-03 12:49:14
140	1	16	10012	1	4000	2020-03-03 12:49:14
141	1	3	10002	1	4500	2020-03-03 17:50:22
142	1	5	10002	1	3000	2020-03-03 17:50:22
143	1	13	10002	1	5000	2020-03-03 17:50:22
144	2	36	10009	2	9000	2020-03-03 17:50:37
145	2	37	10009	1	7000	2020-03-03 17:50:37
146	2	38	10009	2	11000	2020-03-03 17:50:37
147	4	66	10019	2	15000	2020-03-03 17:50:50
148	1	3	10016	1	4500	2020-03-03 17:51:09
149	1	6	10016	1	5000	2020-03-03 17:51:09
150	4	62	10010	1	6000	2020-03-03 17:51:26
151	2	33	10015	1	5000	2020-03-03 17:51:45
152	1	8	10006	1	6000	2020-03-03 17:52:26
153	1	24	10006	1	3000	2020-03-03 17:52:26
154	3	46	10007	1	5000	2020-03-03 17:52:48
155	3	47	10007	1	6000	2020-03-03 17:52:48
156	3	52	10007	1	5000	2020-03-03 17:52:48
157	3	54	10007	1	5500	2020-03-03 17:52:48
158	3	48	10007	1	6000	2020-03-03 17:52:48
159	4	63	10005	5	35000	2020-03-03 12:28:19
160	4	63	10005	5	35000	2020-03-03 12:28:19
161	4	63	10005	5	35000	2020-03-03 12:28:19
162	4	63	10005	5	35000	2020-03-03 12:28:19
163	1	4	10003	2	8000	2020-03-03 07:56:04
164	1	4	10003	2	8000	2020-03-03 07:56:04
165	1	4	10003	2	8000	2020-03-03 07:56:04
166	1	4	10003	2	8000	2020-03-03 07:56:04
167	1	4	10003	2	8000	2020-03-03 07:56:04
168	1	4	10003	2	8000	2020-03-03 07:56:04
169	1	4	10003	2	8000	2020-03-03 07:56:04
170	1	4	10003	2	8000	2020-03-03 07:56:04
171	3	46	10007	1	5000	2020-04-03 17:52:48
172	1	6	10016	1	5000	2020-04-03 17:51:09
173	4	62	10010	1	6000	2020-04-03 17:51:26
174	2	33	10015	1	5000	2020-04-03 17:51:45
175	1	8	10006	1	6000	2020-04-03 17:52:26
176	1	24	10006	1	3000	2020-04-03 17:52:26
177	3	46	10007	1	5000	2020-04-03 17:52:48
178	3	47	10007	1	6000	2020-04-03 17:52:48
179	3	52	10007	1	5000	2020-04-03 17:52:48
180	3	54	10007	1	5500	2020-04-03 17:52:48
181	3	48	10007	1	6000	2020-04-03 17:52:48
182	3	46	10007	1	5000	2020-04-03 17:52:48
183	3	46	10007	1	5000	2020-04-03 17:52:48
184	3	46	10007	1	5000	2020-04-03 17:52:48
185	3	46	10007	1	5000	2020-04-03 17:52:48
186	3	46	10007	1	5000	2020-04-03 17:52:48
187	4	66	10019	2	15000	2020-04-03 17:50:50
188	4	66	10019	2	15000	2020-04-03 17:50:50
189	4	66	10019	2	15000	2020-04-03 17:50:50
190	1	2	10001	1	4500	2020-04-03 07:55:31
191	1	25	10001	1	1000	2020-04-03 07:55:31
192	1	12	10003	2	9000	2020-04-03 07:56:04
193	1	4	10003	2	8000	2020-04-03 07:56:04
194	1	16	10004	1	4000	2020-04-03 07:56:26
195	1	15	10004	1	5500	2020-04-03 07:56:26
196	1	2	10004	1	4500	2020-04-03 07:56:26
197	1	1	10011	1	1000	2020-04-03 07:57:26
198	1	23	10011	1	4000	2020-04-03 07:57:26
199	1	22	10011	1	3500	2020-04-03 07:57:26
200	1	10	10012	1	6000	2020-04-03 07:58:52
201	1	25	10012	1	1000	2020-04-03 07:58:52
202	4	60	10005	1	5500	2020-04-03 07:59:19
203	4	63	10005	1	7000	2020-04-03 07:59:19
204	4	69	10005	1	9000	2020-04-03 07:59:19
205	4	72	10005	1	9000	2020-04-03 07:59:19
206	3	48	10013	1	6000	2020-04-03 07:59:42
207	3	46	10013	1	5000	2020-04-03 07:59:42
208	2	32	10018	2	10000	2020-04-03 08:00:08
209	1	1	10002	1	1000	2020-04-03 12:26:56
210	1	15	10002	1	5500	2020-04-03 12:26:56
211	1	25	10002	1	1000	2020-04-03 12:26:56
212	2	32	10008	2	10000	2020-04-03 12:27:54
213	2	39	10008	1	7000	2020-04-03 12:27:54
214	4	63	10005	5	35000	2020-04-03 12:28:19
215	4	68	10005	1	8000	2020-04-03 12:28:19
216	3	50	10014	2	11000	2020-04-03 12:28:41
217	3	46	10014	1	5000	2020-04-03 12:28:41
218	2	38	10001	2	11000	2020-04-03 12:28:48
219	1	1	10012	1	1000	2020-04-03 12:49:14
220	3	50	10014	2	11000	2020-05-03 12:28:41
221	3	46	10014	1	5000	2020-05-03 12:28:41
222	2	38	10001	2	11000	2020-05-03 12:28:48
223	1	1	10012	1	1000	2020-05-03 12:49:14
224	1	22	10012	1	3500	2020-05-03 12:49:14
225	1	16	10012	1	4000	2020-05-03 12:49:14
226	1	3	10002	1	4500	2020-05-03 17:50:22
227	1	5	10002	1	3000	2020-05-03 17:50:22
228	1	13	10002	1	5000	2020-05-03 17:50:22
229	2	36	10009	2	9000	2020-05-03 17:50:37
230	2	37	10009	1	7000	2020-05-03 17:50:37
231	2	38	10009	2	11000	2020-05-03 17:50:37
232	4	66	10019	2	15000	2020-05-03 17:50:50
233	1	3	10016	1	4500	2020-05-03 17:51:09
234	1	6	10016	1	5000	2020-05-03 17:51:09
235	4	62	10010	1	6000	2020-05-03 17:51:26
236	2	33	10015	1	5000	2020-05-03 17:51:45
237	1	8	10006	1	6000	2020-05-03 17:52:26
238	1	24	10006	1	3000	2020-05-03 17:52:26
239	3	46	10007	1	5000	2020-05-03 17:52:48
240	3	47	10007	1	6000	2020-05-03 17:52:48
241	3	52	10007	1	5000	2020-05-03 17:52:48
242	3	54	10007	1	5500	2020-05-03 17:52:48
243	3	48	10007	1	6000	2020-05-03 17:52:48
244	1	2	10001	1	4500	2020-05-03 07:55:31
245	1	8	10006	1	6000	2020-05-03 17:52:26
246	1	25	10001	1	1000	2020-05-03 07:55:31
247	1	12	10003	2	9000	2020-05-03 07:56:04
248	1	4	10003	2	8000	2020-05-03 07:56:04
249	1	16	10004	1	4000	2020-05-03 07:56:26
250	1	15	10004	1	5500	2020-05-03 07:56:26
251	1	2	10004	1	4500	2020-05-03 07:56:26
252	1	1	10011	1	1000	2020-05-03 07:57:26
253	1	23	10011	1	4000	2020-05-03 07:57:26
254	1	22	10011	1	3500	2020-05-03 07:57:26
255	1	10	10012	1	6000	2020-05-03 07:58:52
256	1	25	10012	1	1000	2020-05-03 07:58:52
257	4	60	10005	1	5500	2020-05-03 07:59:19
258	4	63	10005	1	7000	2020-05-03 07:59:19
259	4	69	10005	1	9000	2020-05-03 07:59:19
260	4	72	10005	1	9000	2020-05-03 07:59:19
261	1	22	10011	1	3500	2020-06-03 07:57:26
262	1	10	10012	1	6000	2020-06-03 07:58:52
263	1	25	10012	1	1000	2020-06-03 07:58:52
264	4	60	10005	1	5500	2020-06-03 07:59:19
265	4	63	10005	1	7000	2020-06-03 07:59:19
266	4	69	10005	1	9000	2020-06-03 07:59:19
267	4	72	10005	1	9000	2020-06-03 07:59:19
268	3	48	10013	1	6000	2020-06-03 07:59:42
269	3	46	10013	1	5000	2020-06-03 07:59:42
270	2	32	10018	2	10000	2020-06-03 08:00:08
271	1	1	10002	1	1000	2020-06-03 12:26:56
272	1	15	10002	1	5500	2020-06-03 12:26:56
273	1	25	10002	1	1000	2020-06-03 12:26:56
274	2	32	10008	2	10000	2020-06-03 12:27:54
275	2	39	10008	1	7000	2020-06-03 12:27:54
276	4	63	10005	5	35000	2020-06-03 12:28:19
277	4	68	10005	1	8000	2020-06-03 12:28:19
278	3	50	10014	2	11000	2020-06-03 12:28:41
279	3	46	10014	1	5000	2020-06-03 12:28:41
280	2	38	10001	2	11000	2020-06-03 12:28:48
281	1	1	10012	1	1000	2020-06-03 12:49:14
282	1	22	10012	1	3500	2020-06-03 12:49:14
283	1	16	10012	1	4000	2020-06-03 12:49:14
284	1	3	10002	1	4500	2020-06-03 17:50:22
285	1	5	10002	1	3000	2020-06-03 17:50:22
286	1	13	10002	1	5000	2020-06-03 17:50:22
287	2	36	10009	2	9000	2020-06-03 17:50:37
288	2	37	10009	1	7000	2020-06-03 17:50:37
289	2	38	10009	2	11000	2020-06-03 17:50:37
290	4	66	10019	2	15000	2020-06-03 17:50:50
291	1	3	10016	1	4500	2020-06-03 17:51:09
292	1	6	10016	1	5000	2020-06-03 17:51:09
293	4	62	10010	1	6000	2020-06-03 17:51:26
294	2	33	10015	1	5000	2020-06-03 17:51:45
295	1	8	10006	1	6000	2020-06-03 17:52:26
296	1	24	10006	1	3000	2020-06-03 17:52:26
297	3	46	10007	1	5000	2020-06-03 17:52:48
298	3	47	10007	1	6000	2020-06-03 17:52:48
299	3	52	10007	1	5000	2020-06-03 17:52:48
300	3	54	10007	1	5500	2020-06-03 17:52:48
301	3	48	10007	1	6000	2020-06-03 17:52:48
302	4	63	10005	5	35000	2020-06-03 12:28:19
303	4	63	10005	5	35000	2020-06-03 12:28:19
304	4	63	10005	5	35000	2020-06-03 12:28:19
305	4	63	10005	5	35000	2020-06-03 12:28:19
306	1	4	10003	2	8000	2020-06-03 07:56:04
307	1	4	10003	2	8000	2020-06-03 07:56:04
308	1	4	10003	2	8000	2020-06-03 07:56:04
309	1	4	10003	2	8000	2020-06-03 07:56:04
310	1	4	10003	2	8000	2020-06-03 07:56:04
311	1	4	10003	2	8000	2020-06-03 07:56:04
312	1	4	10003	2	8000	2020-06-03 07:56:04
313	1	4	10003	2	8000	2020-06-03 07:56:04
314	4	63	10005	5	35000	2020-07-03 12:28:19
315	4	68	10005	1	8000	2020-07-03 12:28:19
316	3	50	10014	2	11000	2020-07-03 12:28:41
317	3	46	10014	1	5000	2020-07-03 12:28:41
318	2	38	10001	2	11000	2020-07-03 12:28:48
319	1	1	10012	1	1000	2020-07-03 12:49:14
320	3	50	10014	2	11000	2020-07-03 12:28:41
321	3	46	10014	1	5000	2020-07-03 12:28:41
322	2	38	10001	2	11000	2020-07-03 12:28:48
323	1	1	10012	1	1000	2020-07-03 12:49:14
324	1	22	10012	1	3500	2020-07-03 12:49:14
325	1	16	10012	1	4000	2020-07-03 12:49:14
326	1	3	10002	1	4500	2020-07-03 17:50:22
327	1	5	10002	1	3000	2020-07-03 17:50:22
328	1	13	10002	1	5000	2020-07-03 17:50:22
329	2	36	10009	2	9000	2020-07-03 17:50:37
330	2	37	10009	1	7000	2020-07-03 17:50:37
331	2	38	10009	2	11000	2020-07-03 17:50:37
332	4	66	10019	2	15000	2020-07-03 17:50:50
333	1	3	10016	1	4500	2020-07-03 17:51:09
334	1	6	10016	1	5000	2020-07-03 17:51:09
335	4	62	10010	1	6000	2020-07-03 17:51:26
336	2	33	10015	1	5000	2020-07-03 17:51:45
337	1	8	10006	1	6000	2020-07-03 17:52:26
338	1	24	10006	1	3000	2020-07-03 17:52:26
339	3	46	10007	1	5000	2020-07-03 17:52:48
340	3	47	10007	1	6000	2020-07-03 17:52:48
341	3	52	10007	1	5000	2020-07-03 17:52:48
342	3	54	10007	1	5500	2020-07-03 17:52:48
343	3	48	10007	1	6000	2020-07-03 17:52:48
344	1	2	10001	1	4500	2020-07-03 07:55:31
345	1	8	10006	1	6000	2020-07-03 17:52:26
346	1	25	10001	1	1000	2020-07-03 07:55:31
347	1	12	10003	2	9000	2020-07-03 07:56:04
348	1	4	10003	2	8000	2020-07-03 07:56:04
349	1	16	10004	1	4000	2020-07-03 07:56:26
350	1	15	10004	1	5500	2020-07-03 07:56:26
351	1	2	10004	1	4500	2020-07-03 07:56:26
352	1	1	10011	1	1000	2020-07-03 07:57:26
353	1	23	10011	1	4000	2020-07-03 07:57:26
354	1	22	10011	1	3500	2020-07-03 07:57:26
355	2	39	10008	1	7000	2020-07-03 12:27:54
356	4	63	10005	5	35000	2020-07-03 12:28:19
357	4	68	10005	1	8000	2020-07-03 12:28:19
358	3	50	10014	2	11000	2020-07-03 12:28:41
359	3	46	10014	1	5000	2020-07-03 12:28:41
360	2	38	10001	2	11000	2020-07-03 12:28:48
361	1	1	10012	1	1000	2020-07-03 12:49:14
362	1	22	10012	1	3500	2020-07-03 12:49:14
363	1	16	10012	1	4000	2020-07-03 12:49:14
364	1	3	10002	1	4500	2020-07-03 17:50:22
365	1	5	10002	1	3000	2020-07-03 17:50:22
366	1	13	10002	1	5000	2020-07-03 17:50:22
367	2	36	10009	2	9000	2020-07-03 17:50:37
368	2	37	10009	1	7000	2020-07-03 17:50:37
369	2	38	10009	2	11000	2020-07-03 17:50:37
370	4	66	10019	2	15000	2020-07-03 17:50:50
371	1	3	10016	1	4500	2020-07-03 17:51:09
372	1	6	10016	1	5000	2020-07-03 17:51:09
373	4	62	10010	1	6000	2020-07-03 17:51:26
374	2	33	10015	1	5000	2020-07-03 17:51:45
375	1	8	10006	1	6000	2020-07-03 17:52:26
376	1	24	10006	1	3000	2020-07-03 17:52:26
377	3	46	10007	1	5000	2020-07-03 17:52:48
378	3	47	10007	1	6000	2020-07-03 17:52:48
379	3	52	10007	1	5000	2020-07-03 17:52:48
380	3	54	10007	1	5500	2020-07-03 17:52:48
381	3	48	10007	1	6000	2020-07-03 17:52:48
382	4	63	10005	5	35000	2020-07-03 12:28:19
383	4	63	10005	5	35000	2020-07-03 12:28:19
384	4	63	10005	5	35000	2020-07-03 12:28:19
385	4	63	10005	5	35000	2020-07-03 12:28:19
386	1	4	10003	2	8000	2020-07-03 07:56:04
387	1	4	10003	2	8000	2020-07-03 07:56:04
388	1	4	10003	2	8000	2020-07-03 07:56:04
389	1	4	10003	2	8000	2020-07-03 07:56:04
390	1	4	10003	2	8000	2020-07-03 07:56:04
391	1	4	10003	2	8000	2020-07-03 07:56:04
392	1	4	10003	2	8000	2020-07-03 07:56:04
393	1	4	10003	2	8000	2020-07-03 07:56:04
394	3	46	10007	1	5000	2020-07-03 17:52:48
395	1	6	10016	1	5000	2020-07-03 17:51:09
396	4	62	10010	1	6000	2020-07-03 17:51:26
397	2	33	10015	1	5000	2020-07-03 17:51:45
398	1	8	10006	1	6000	2020-07-03 17:52:26
399	1	24	10006	1	3000	2020-07-03 17:52:26
400	3	46	10007	1	5000	2020-07-03 17:52:48
401	3	47	10007	1	6000	2020-07-03 17:52:48
402	3	52	10007	1	5000	2020-07-03 17:52:48
403	3	54	10007	1	5500	2020-07-03 17:52:48
404	3	48	10007	1	6000	2020-07-03 17:52:48
405	3	46	10007	1	5000	2020-07-03 17:52:48
406	1	15	10002	1	5500	2020-08-03 12:26:56
407	1	25	10002	1	1000	2020-08-03 12:26:56
408	2	32	10008	2	10000	2020-08-03 12:27:54
409	2	39	10008	1	7000	2020-08-03 12:27:54
410	4	63	10005	5	35000	2020-08-03 12:28:19
411	4	68	10005	1	8000	2020-08-03 12:28:19
412	3	50	10014	2	11000	2020-08-03 12:28:41
413	3	46	10014	1	5000	2020-08-03 12:28:41
414	2	38	10001	2	11000	2020-08-03 12:28:48
415	1	1	10012	1	1000	2020-08-03 12:49:14
416	1	22	10012	1	3500	2020-08-03 12:49:14
417	1	16	10012	1	4000	2020-08-03 12:49:14
418	1	3	10002	1	4500	2020-08-03 17:50:22
419	1	5	10002	1	3000	2020-08-03 17:50:22
420	1	13	10002	1	5000	2020-08-03 17:50:22
421	2	36	10009	2	9000	2020-08-03 17:50:37
422	2	37	10009	1	7000	2020-08-03 17:50:37
423	2	38	10009	2	11000	2020-08-03 17:50:37
424	4	66	10019	2	15000	2020-08-03 17:50:50
425	1	3	10016	1	4500	2020-08-03 17:51:09
426	1	6	10016	1	5000	2020-08-03 17:51:09
427	4	62	10010	1	6000	2020-08-03 17:51:26
428	2	33	10015	1	5000	2020-08-03 17:51:45
429	1	8	10006	1	6000	2020-08-03 17:52:26
430	1	24	10006	1	3000	2020-08-03 17:52:26
431	3	46	10007	1	5000	2020-08-03 17:52:48
432	3	47	10007	1	6000	2020-08-03 17:52:48
433	3	52	10007	1	5000	2020-08-03 17:52:48
434	3	54	10007	1	5500	2020-08-03 17:52:48
435	3	48	10007	1	6000	2020-08-03 17:52:48
436	1	2	10001	1	4500	2020-08-03 07:55:31
437	1	25	10001	1	1000	2020-08-03 07:55:31
438	1	12	10003	2	9000	2020-08-03 07:56:04
439	1	4	10003	2	8000	2020-08-03 07:56:04
440	1	16	10004	1	4000	2020-08-03 07:56:26
441	1	15	10004	1	5500	2020-08-03 07:56:26
442	1	2	10004	1	4500	2020-08-03 07:56:26
443	1	1	10011	1	1000	2020-08-03 07:57:26
444	1	23	10011	1	4000	2020-08-03 07:57:26
445	1	22	10011	1	3500	2020-08-03 07:57:26
446	1	25	10001	1	1000	2020-09-03 07:55:31
447	1	12	10003	2	9000	2020-09-03 07:56:04
448	1	4	10003	2	8000	2020-09-03 07:56:04
449	1	16	10004	1	4000	2020-09-03 07:56:26
450	1	15	10004	1	5500	2020-09-03 07:56:26
451	1	2	10004	1	4500	2020-09-03 07:56:26
452	1	1	10011	1	1000	2020-09-03 07:57:26
453	1	23	10011	1	4000	2020-09-03 07:57:26
454	1	22	10011	1	3500	2020-09-03 07:57:26
455	1	10	10012	1	6000	2020-09-03 07:58:52
456	1	25	10012	1	1000	2020-09-03 07:58:52
457	4	60	10005	1	5500	2020-09-03 07:59:19
458	4	63	10005	1	7000	2020-09-03 07:59:19
459	4	69	10005	1	9000	2020-09-03 07:59:19
460	4	72	10005	1	9000	2020-09-03 07:59:19
461	3	48	10013	1	6000	2020-09-03 07:59:42
462	3	46	10013	1	5000	2020-09-03 07:59:42
463	2	32	10018	2	10000	2020-09-03 08:00:08
464	1	1	10002	1	1000	2020-09-03 12:26:56
465	1	15	10002	1	5500	2020-09-03 12:26:56
466	1	25	10002	1	1000	2020-09-03 12:26:56
467	2	32	10008	2	10000	2020-09-03 12:27:54
468	2	39	10008	1	7000	2020-09-03 12:27:54
469	4	63	10005	5	35000	2020-09-03 12:28:19
470	4	68	10005	1	8000	2020-09-03 12:28:19
471	3	50	10014	2	11000	2020-09-03 12:28:41
472	3	46	10014	1	5000	2020-09-03 12:28:41
473	2	38	10001	2	11000	2020-09-03 12:28:48
474	1	1	10012	1	1000	2020-09-03 12:49:14
475	1	22	10012	1	3500	2020-09-03 12:49:14
476	1	16	10012	1	4000	2020-09-03 12:49:14
477	1	3	10002	1	4500	2020-09-03 17:50:22
478	1	5	10002	1	3000	2020-09-03 17:50:22
479	1	13	10002	1	5000	2020-09-03 17:50:22
480	2	36	10009	2	9000	2020-09-03 17:50:37
481	2	37	10009	1	7000	2020-09-03 17:50:37
482	2	38	10009	2	11000	2020-09-03 17:50:37
483	4	66	10019	2	15000	2020-09-03 17:50:50
484	1	3	10016	1	4500	2020-09-03 17:51:09
485	1	6	10016	1	5000	2020-09-03 17:51:09
486	4	62	10010	1	6000	2020-09-03 17:51:26
487	2	33	10015	1	5000	2020-09-03 17:51:45
488	1	8	10006	1	6000	2020-09-03 17:52:26
489	1	24	10006	1	3000	2020-09-03 17:52:26
490	3	46	10007	1	5000	2020-09-03 17:52:48
491	4	63	10005	5	35000	2020-10-03 12:28:19
492	4	68	10005	1	8000	2020-10-03 12:28:19
493	3	50	10014	2	11000	2020-10-03 12:28:41
494	3	46	10014	1	5000	2020-10-03 12:28:41
495	2	38	10001	2	11000	2020-10-03 12:28:48
496	1	1	10012	1	1000	2020-10-03 12:49:14
497	3	50	10014	2	11000	2020-10-03 12:28:41
498	3	46	10014	1	5000	2020-10-03 12:28:41
499	2	38	10001	2	11000	2020-10-03 12:28:48
500	1	1	10012	1	1000	2020-10-03 12:49:14
501	1	22	10012	1	3500	2020-10-03 12:49:14
502	1	16	10012	1	4000	2020-10-03 12:49:14
503	1	3	10002	1	4500	2020-10-03 17:50:22
504	1	5	10002	1	3000	2020-10-03 17:50:22
505	1	13	10002	1	5000	2020-10-03 17:50:22
506	2	36	10009	2	9000	2020-10-03 17:50:37
507	2	37	10009	1	7000	2020-10-03 17:50:37
508	2	38	10009	2	11000	2020-10-03 17:50:37
509	4	66	10019	2	15000	2020-10-03 17:50:50
510	1	3	10016	1	4500	2020-10-03 17:51:09
511	1	6	10016	1	5000	2020-10-03 17:51:09
512	4	62	10010	1	6000	2020-10-03 17:51:26
513	2	33	10015	1	5000	2020-10-03 17:51:45
514	1	8	10006	1	6000	2020-10-03 17:52:26
515	1	24	10006	1	3000	2020-10-03 17:52:26
516	3	46	10007	1	5000	2020-10-03 17:52:48
